WSA	FN	North	PD	Dist	Elev	Inc	lnPD	lnDist	lnInc
0.0	0	0.0	14.735	3.374	18.5	27.852	2.6902256	1.216099	3.3269048
1.0	0	0.0	2.558	4.491	18.5	27.852	0.93922573	1.5020754	3.3269048
1.0	0	0.0	0.627	4.614	18.5	27.852	-0.46680877	1.5290952	3.3269048
1.0	0	0.0	0.237	1.256	18.5	26.772	-1.4396951	0.2279321	3.2873566
0.0	1	0.0	0.137	18.47	18.0	26.772	-1.9877744	2.9161477	3.2873566
1.0	0	0.0	0.049	2.69	20.0	26.772	-3.015935	0.98954123	3.2873566
1.0	0	0.0	0.085	3.875	22.0	26.772	-2.465104	1.3545457	3.2873566
1.0	0	0.0	0.092	1.334	20.5	26.772	-2.3859668	0.28818193	3.2873566
1.0	0	0.0	0.877	6.457	19.5	26.772	-0.13124831	1.8651648	3.2873566
0.0	0	0.0	4.117	5.932	19.5	26.772	1.4151248	1.7803614	3.2873566
1.0	1	0.0	0.562	6.155	18.5	26.772	-0.5762535	1.8172648	3.2873566
1.0	0	0.0	4.338	0.809	18.5	26.772	1.4674134	-0.21195634	3.2873566
1.0	0	0.0	6.181	6.393	18.0	26.772	1.8214802	1.8552036	3.2873566
1.0	0	0.0	0.235	5.438	20.0	26.772	-1.4481697	1.6934114	3.2873566
1.0	0	0.0	0.337	1.105	20.0	26.772	-1.0876724	0.09984535	3.2873566
1.0	0	0.0	0.136	8.563	23.0	26.772	-1.9951004	2.1474504	3.2873566
0.0	1	0.0	1.108	6.781	18.0	26.772	0.10255662	1.9141246	3.2873566
1.0	0	0.0	2.367	10.492	21.0	27.611	0.86162335	2.350613	3.3182142
1.0	0	0.0	0.138	0.606	22.0	27.611	-1.9805017	-0.5008753	3.3182142
1.0	0	0.0	0.729	1.563	24.0	27.611	-0.31608158	0.44660702	3.3182142
0.0	1	0.0	0.191	0.945	22.0	27.611	-1.6554818	-0.05657036	3.3182142
1.0	1	0.0	0.149	0.465	22.0	27.611	-1.903809	-0.76571786	3.3182142
0.0	1	0.0		3.912	22.0	27.611		1.3640487	3.3182142
0.0	0	0.0	0.302	2.754	28.0	27.611	-1.1973283	1.0130544	3.3182142
1.0	0	0.0	0.265	1.27	27.0	27.611	-1.3280255	0.23901689	3.3182142
